id,title,genres,language,user_score,runtime_hour,runtime_min,release_date,vote_count,director,top_billed,budget_usd,revenue_usd,runtime,budget,revenue,film_id,poster_path,backdrop_path
1,The Shawshank Redemption,"Drama, Crime",en,8.7,2,22,1994-09-23,27070,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown",25000000.0,28341469.0,2h 22 min,"$25,000,000","$28,341,469",1,https://image.tmdb.org/t/p/w500/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,https://image.tmdb.org/t/p/w500/zfbjgQE1uSd9wiPTX4VzsLi0rGG.jpg
2,The Godfather,"Drama, Crime",en,8.7,2,55,1972-03-14,20563,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Robert Duvall, Richard S. Castellano",6000000.0,245066411.0,2h 55 min,"$6,000,000","$245,066,411",2,https://image.tmdb.org/t/p/w500/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,https://image.tmdb.org/t/p/w500/tmU7GeKVybMWFButWEGl2M4GeiP.jpg
3,The Godfather Part II,"Drama, Crime",en,8.6,3,22,1974-12-20,12403,Francis Ford Coppola,"Al Pacino, Robert Duvall, Diane Keaton, Robert De Niro, John Cazale",13000000.0,102600000.0,3h 22 min,"$13,000,000","$102,600,000",3,https://image.tmdb.org/t/p/w500/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,https://image.tmdb.org/t/p/w500/kGzFbGhp99zva6oZODW5atUtnqi.jpg
4,Schindler's List,"Drama, History, War",en,8.6,3,15,1993-12-15,15810,Steven Spielberg,"Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall, Jonathan Sagall",22000000.0,321365567.0,3h 15 min,"$22,000,000","$321,365,567",4,https://image.tmdb.org/t/p/w500/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,https://image.tmdb.org/t/p/w500/zb6fM1CX41D9rF9hdgclu0peUmy.jpg
5,12 Angry Men,Drama,en,8.5,1,37,1957-04-10,8611,Sidney Lumet,"Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall, Jack Klugman",397751.0,4360000.0,1h 37 min,"$397,751","$4,360,000",5,https://image.tmdb.org/t/p/w500/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg,https://image.tmdb.org/t/p/w500/qqHQsStV6exghCM7zbObuYBiYxw.jpg
6,Spirited Away,"Animation, Family, Fantasy",ja,8.5,2,5,2001-07-20,16462,Hayao Miyazaki,"Rumi Hiiragi, Miyu Irino, Mari Natsuki, Takashi Naito, Yasuko Sawaguchi",19000000.0,274925095.0,2h 5 min,"$19,000,000","$274,925,095",6,https://image.tmdb.org/t/p/w500/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,https://image.tmdb.org/t/p/w500/6oaL4DP75yABrd5EbC4H2zq5ghc.jpg
7,The Wild Robot,"Animation, Science Fiction, Family",en,8.5,1,42,2024-09-12,2593,Chris Sanders,"Lupita Nyong'o, Pedro Pascal, Kit Connor, Bill Nighy, Stephanie Hsu",78000000.0,271583746.0,1h 42 min,"$78,000,000","$271,583,746",7,https://image.tmdb.org/t/p/w500/wTnV3PCVW5O92JMrFvvrRcV39RU.jpg,https://image.tmdb.org/t/p/w500/v9acaWVVFdZT5yAU7J2QjwfhXyD.jpg
8,Dilwale Dulhania Le Jayenge,"Comedy, Drama, Romance",hi,8.5,3,10,1995-10-20,4434,Aditya Chopra,"Kajol, Shah Rukh Khan, Amrish Puri, Farida Jalal, Anupam Kher",13200000.0,100000000.0,3h 10 min,"$13,200,000","$100,000,000",8,https://image.tmdb.org/t/p/w500/lfRkUr7DYdHldAqi3PwdQGBRBPM.jpg,https://image.tmdb.org/t/p/w500/90ez6ArvpO8bvpyIngBuwXOqJm5.jpg
9,The Dark Knight,"Drama, Action, Crime, Thriller",en,8.5,2,32,2008-07-16,32816,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Maggie Gyllenhaal",185000000.0,1004558444.0,2h 32 min,"$185,000,000","$1,004,558,444",9,https://image.tmdb.org/t/p/w500/qJ2tW6WMUDux911r6m7haRef0WH.jpg,https://image.tmdb.org/t/p/w500/oOv2oUXcAaNXakRqUPxYq5lJURz.jpg
10,The Green Mile,"Fantasy, Drama, Crime",en,8.5,3,9,1999-12-10,17376,Frank Darabont,"Tom Hanks, David Morse, Bonnie Hunt, Michael Clarke Duncan, James Cromwell",60000000.0,286801374.0,3h 9 min,"$60,000,000","$286,801,374",10,https://image.tmdb.org/t/p/w500/8VG8fDNiy50H4FedGwdSVUPoaJe.jpg,https://image.tmdb.org/t/p/w500/vxJ08SvwomfKbpboCWynC3uqUg4.jpg
